disease_id,name,crop_id,crop,pathogen_type,causal_agent,symptoms,affected_parts,favourable_conditions,growth_stage,differential_diagnosis,management
DIS_RICE_BLAST,Rice blast,CROP_RICE,Rice,fungal,Magnaporthe oryzae,"Spindle-shaped lesions with grey centre on leaves, nodes and panicle neck",leaf|stem|panicle,"High humidity, 25-28 C, excess nitrogen",vegetative|flowering,"Brown spot (no spindle shape, nutrient stress) vs Bacterial leaf blight (water-soaked, no grey centre)","Resistant varieties, balanced N; tricyclazole/isoprothiolane at booting"
DIS_RICE_BLB,Bacterial leaf blight,CROP_RICE,Rice,bacterial,Xanthomonas oryzae pv. oryzae,"Water-soaked lesions, yellowing, drying from leaf tip",leaf,"Warm, high humidity, standing water",vegetative|flowering,"Bacterial leaf streak (narrow streaks, no ooze droplets) vs Rice blast","Clean seed, avoid excess N; copper sprays"
DIS_RICE_BROWN_SPOT,Brown spot,CROP_RICE,Rice,fungal,Bipolaris oryzae,Brown oval spots on leaves and grains,leaf|grain,"Nutrient-deficient soil, drought",,,Balanced nutrition; mancozeb/propiconazole
DIS_RICE_SHEATH_BLIGHT,Sheath blight,CROP_RICE,Rice,fungal,Rhizoctonia solani,Grey-green lesions on leaf sheaths near water line,sheath|leaf,"High humidity, dense canopy",vegetative|flowering,"Sheath rot (panicle, dark) vs Stem rot (sclerotia at base)",Wider spacing; hexaconazole/validamycin
DIS_WHEAT_RUST,Wheat rusts (leaf/stem/stripe),CROP_WHEAT,Wheat,fungal,Puccinia spp.,Rust-coloured pustules on leaves/stem,leaf|stem,Cool moist weather,vegetative|flowering|grain_fill,Leaf rust (scattered orange pustules) vs Stem rust (elongated on stem) vs Stripe rust (yellow stripes along veins),Resistant varieties; propiconazole/tebuconazole
DIS_WHEAT_PM,Powdery mildew,CROP_WHEAT,Wheat,fungal,Blumeria graminis,White powdery growth on leaves,leaf,"Cool humid, 15-20 C",vegetative|flowering,"Downy mildew (yellow patches, cool wet) vs Rusts",Wettable sulphur
DIS_MAIZE_DM,Downy mildew,CROP_MAIZE,Maize,fungal,Peronosclerospora spp.,"Chlorotic stripes, white downy growth, stunting",leaf,Cool humid,seedling|vegetative,Crazy top (distorted tassel) vs Nutrient deficiency,"Metalaxyl seed treatment, resistant hybrids"
DIS_MAIZE_BLSB,Banded leaf and sheath blight,CROP_MAIZE,Maize,fungal,Rhizoctonia solani f. sp. sasakii,Banded lesions on leaf/sheath,leaf|sheath,Warm humid,,,Carbendazim/propiconazole
DIS_TOMATO_EB,Early blight,CROP_TOMATO,Tomato,fungal,Alternaria solani,Concentric ring spots on lower leaves,leaf|stem|fruit,"Warm humid, dew",vegetative|fruiting,"Late blight (water-soaked greasy lesions, cool humid) vs Septoria (small spots with dark margin and pycnidia) vs Bacterial speck (pinhead spots, no rings)",Mancozeb/chlorothalonil; mulching
DIS_TOMATO_LB,Late blight,CROP_TOMATO,Tomato,fungal,Phytophthora infestans,"Water-soaked greasy lesions, white growth under leaf",leaf|stem|fruit,Cool (10-20 C) humid,vegetative|flowering|fruiting,"Early blight (concentric rings, warm) vs Grey mould (fluffy grey growth) vs Bacterial spot","Metalaxyl+mancozeb, cymoxanil; avoid overhead irrigation"
