crop_id,canonical_en,scientific_name,family,type,group
CROP_RICE,Rice,Oryza sativa,Poaceae,cereal,Cereals
CROP_WHEAT,Wheat,Triticum aestivum,Poaceae,cereal,Cereals
CROP_MAIZE,Maize,Zea mays,Poaceae,cereal,Cereals
CROP_BARLEY,Barley,Hordeum vulgare,Poaceae,cereal,Cereals
CROP_JOWAR,Sorghum (Jowar),Sorghum bicolor,Poaceae,millet,Millets
CROP_BAJRA,Pearl millet (Bajra),Pennisetum glaucum,Poaceae,millet,Millets
CROP_RAGI,Finger millet (Ragi),Eleusine coracana,Poaceae,millet,Millets
CROP_KODO_MILLET,Kodo millet,Paspalum scrobiculatum,Poaceae,millet,Millets
CROP_LITTLE_MILLET,Little millet,Panicum sumatrense,Poaceae,millet,Millets
CROP_FOXTAIL_MILLET,Foxtail millet,Setaria italica,Poaceae,millet,Millets
CROP_PROSO_MILLET,Proso millet,Panicum miliaceum,Poaceae,millet,Millets
CROP_BARNYARD_MILLET,Barnyard millet,Echinochloa frumentacea,Poaceae,millet,Millets
CROP_PIGEONPEA,Pigeon pea (Tur),Cajanus cajan,Fabaceae,pulse,Pulses
CROP_CHICKPEA,Chickpea (Gram),Cicer arietinum,Fabaceae,pulse,Pulses
CROP_GREENGRAM,Green gram (Moong),Vigna radiata,Fabaceae,pulse,Pulses
CROP_BLACKGRAM,Black gram (Urad),Vigna mungo,Fabaceae,pulse,Pulses
CROP_LENTIL,Lentil (Masoor),Lens culinaris,Fabaceae,pulse,Pulses
CROP_FIELD_PEA,Field pea,Pisum sativum,Fabaceae,pulse,Pulses
CROP_COWPEA,Cowpea (Lobia),Vigna unguiculata,Fabaceae,pulse,Pulses
CROP_MOTH_BEAN,Moth bean,Vigna aconitifolia,Fabaceae,pulse,Pulses
CROP_HORSE_GRAM,Horse gram,Macrotyloma uniflorum,Fabaceae,pulse,Pulses
CROP_LABLAB,Lablab (Field bean),Lablab purpureus,Fabaceae,pulse,Pulses
CROP_CLUSTER_BEAN,Cluster bean (Guar),Cyamopsis tetragonoloba,Fabaceae,pulse,Pulses
CROP_SOYBEAN,Soybean,Glycine max,Fabaceae,oilseed,Oilseeds
CROP_GROUNDNUT,Groundnut,Arachis hypogaea,Fabaceae,oilseed,Oilseeds
CROP_MUSTARD,Mustard (Rapeseed),Brassica juncea,Brassicaceae,oilseed,Oilseeds
CROP_SESAME,Sesame (Til),Sesamum indicum,Pedaliaceae,oilseed,Oilseeds
CROP_SUNFLOWER,Sunflower,Helianthus annuus,Asteraceae,oilseed,Oilseeds
CROP_SAFFLOWER,Safflower,Carthamus tinctorius,Asteraceae,oilseed,Oilseeds
CROP_LINSEED,Linseed (Flax),Linum usitatissimum,Linaceae,oilseed,Oilseeds
CROP_CASTOR,Castor,Ricinus communis,Euphorbiaceae,oilseed,Oilseeds
CROP_NIGER,Niger,Guizotia abyssinica,Asteraceae,oilseed,Oilseeds
CROP_COTTON,Cotton,Gossypium hirsutum,Malvaceae,fibre,Fibre crops
CROP_JUTE,Jute,Corchorus olitorius,Malvaceae,fibre,Fibre crops
CROP_MESTA,Mesta (Kenaf),Hibiscus spp.,Malvaceae,fibre,Fibre crops
CROP_SUGARCANE,Sugarcane,Saccharum officinarum,Poaceae,sugar,Sugar crops
CROP_SUGARBEET,Sugar beet,Beta vulgaris,Amaranthaceae,sugar,Sugar crops
CROP_ONION,Onion,Allium cepa,Amaryllidaceae,vegetable,Vegetables
CROP_TOMATO,Tomato,Solanum lycopersicum,Solanaceae,vegetable,Vegetables
CROP_POTATO,Potato,Solanum tuberosum,Solanaceae,vegetable,Vegetables
CROP_CHILLI,Chilli,Capsicum annuum,Solanaceae,vegetable,Vegetables
CROP_BRINJAL,Brinjal (Eggplant),Solanum melongena,Solanaceae,vegetable,Vegetables
CROP_OKRA,Okra (Bhindi),Abelmoschus esculentus,Malvaceae,vegetable,Vegetables
CROP_CAULIFLOWER,Cauliflower,Brassica oleracea var. botrytis,Brassicaceae,vegetable,Vegetables
CROP_CABBAGE,Cabbage,Brassica oleracea var. capitata,Brassicaceae,vegetable,Vegetables
CROP_CUCUMBER,Cucumber,Cucumis sativus,Cucurbitaceae,vegetable,Vegetables
CROP_BITTER_GOURD,Bitter gourd,Momordica charantia,Cucurbitaceae,vegetable,Vegetables
CROP_BOTTLE_GOURD,Bottle gourd,Lagenaria siceraria,Cucurbitaceae,vegetable,Vegetables
CROP_RIDGE_GOURD,Ridge gourd,Luffa acutangula,Cucurbitaceae,vegetable,Vegetables
