pest_id,name,scientific_name,crop_hosts,damage_symptoms,growth_stage,economic_threshold,monitoring,cultural_control,biological_control,chemical_control
PEST_RICE_STEMBORER,Yellow stem borer,Scirpophaga incertulas,Rice,"Dead hearts, white ears",vegetative|flowering,1 moth/trap/night or 5% dead hearts,Pheromone traps @ 8/ha,"Clipping seedling tips, pheromone traps",Trichogramma egg parasitoids,"Cartap hydrochloride, chlorantraniliprole at ETL"
PEST_RICE_BPH,Brown planthopper,Nilaparvata lugens,Rice,"Hopper burn, sooty mould",vegetative|flowering,5-10 hoppers/hill,"Visual counting, avoid resurgence","Avoid excess N, field draining",Encourage natural enemies,"Buprofezin, pymetrozine"
PEST_MAIZE_FAW,Fall armyworm,Spodoptera frugiperda,Maize,"Window panes, whorl damage, frass",seedling|vegetative,10% plants infested (whorl),"Pheromone traps, whorl scouting","Early sowing, clean cultivation","Metarhizium, NPV, Trichogramma","Emamectin benzoate, spinetoram"
PEST_COTTON_PBW,Pink bollworm,Pectinophora gossypiella,Cotton,"Rosetted flowers, boll damage, lint staining",flowering|fruiting,8 moths/trap/3 days,PBKnot pheromone traps @ 5/ha,"Crop residue destruction, mating disruption",Trichogramma bactrae,"Lambda-cyhalothrin, chlorantraniliprole"
PEST_COTTON_ABW,American bollworm,Helicoverpa armigera,Cotton|Pulses|Vegetables,Bore holes in bolls/fruits,flowering|fruiting,1 larva/plant or 5% damaged fruiting bodies,"Pheromone traps, egg scouting","Pheromone traps, trap crops (marigold)","HaNPV, Trichogramma, Bt","Emamectin, indoxacarb, spinosad"
PEST_WHITEFLY,Whitefly,Bemisia tabaci,Cotton|Vegetables|Pulses,"Sucking sap, sooty mould, virus vector",vegetative|flowering,10 adults/leaf,Yellow sticky traps @ 10/ha,"Yellow sticky traps, reflective mulch","Encarsia, Chrysoperla","Imidacloprid, thiamethoxam (judicious)"
PEST_APHID,Aphids,Aphis gossypii,Vegetables|Cotton,"Curling, honeydew, sooty mould",vegetative|flowering,10-15% infested plants,Visual + natural enemy presence,"Neem oil, balanced N","Coccinellids, Chrysoperla","Dimethoate, imidacloprid"
PEST_THRIPS,Thrips,Thrips tabaci,Onion|Chilli|Cotton,"Silvery streaks, leaf curling",vegetative|flowering,10 thrips/leaf or silvery patches on 10% leaves,Blue sticky traps,"Mulching, clean cultivation",Predatory mites,"Spinosad, fipronil"
PEST_BRINJAL_FB,Fruit and shoot borer,Leucinodes orbonalis,Brinjal,"Wilted shoots, bore holes in fruit",vegetative|fruiting,5% damaged shoots/fruits,Pheromone traps,"Sanitation, trap crops","Pheromone traps, Bt","Spinosad, emamectin"
PEST_DBM,Diamondback moth,Plutella xylostella,Cabbage|Cauliflower,"Shot holes, leaf skeletonization",vegetative|curd,10% leaf damage or 10 larvae/plant,Pheromone traps,"Rotation, clean fields","Bt, Trichogramma","Spinosad, indoxacarb, chlorantraniliprole"
PEST_OKRA_FB,Shoot and fruit borer,Earias vittella,Okra,Bored shoots and fruits,,,,"Trap crops, sanitation",Bt,"Spinosad, emamectin"
PEST_MITE,Red spider mite,Tetranychus urticae,Vegetables|Fruits,"Yellow speckling, webbing",vegetative|fruiting,5-10 mites/leaf with webbing,Leaf undersurface loupe,"Water spray, avoid dusty conditions",Predatory mite Phytoseiulus,"Propargite, spiromesifen, wettable sulphur"
PEST_MEALYBUG,Mealybug,Phenacoccus solenopsis,Cotton,"Stunted growth, sooty mould",vegetative|fruiting,1-2 colonies/plant,"Visual, ant association",Remove infested plants,Cryptolaemus montrouzieri,"Buprofezin, imidacloprid"
PEST_TERMITE,Termites,Odontotermes obesus,Sugarcane|Wheat,"Root/stem damage, wilting",all,Presence in seedbed/setts,Soil inspection,"Deep ploughing, avoid undecomposed manure",Entomopathogenic fungi,Chlorpyrifos soil treatment
PEST_LOCUST,Desert locust,Schistocerca gregaria,All crops,"Defoliation, crop loss",,,,"Egg surveillance, community action",Metarhizium acridum,"Malathion, chlorpyrifos (coordinated)"
PEST_WHITEGRUB,White grub,Holotrichia consanguinea,Groundnut|Sugarcane,"Root damage, wilting, patchy growth",,,,"Summer ploughing, light traps",Metarhizium anisopliae,Chlorpyrifos seed/soil treatment
PEST_SUGARCANE_ESB,Early shoot borer,Chilo infuscatellus,Sugarcane,Dead hearts in young crop,,,,"Trash mulching, early planting",Trichogramma chilonis,Chlorantraniliprole
PEST_GRAM_PB,Gram pod borer,Helicoverpa armigera,Chickpea|Pigeonpea,"Pod boring, seed loss",flowering|fruiting,1 larva/m row or 5% pod damage,Pheromone traps @ 4/ha,"Pheromone traps, early sowing","HaNPV, Bt","Emamectin, indoxacarb"
PEST_MANGO_HOPPER,Mango hopper,Idioscopus spp.,Mango,"Sucking sap, honeydew, sooty mould, flower drop",flowering,5-10 hoppers/panicle,Sweep net on inflorescence,"Pruning, orchard sanitation","Predators, Beauveria",Imidacloprid at flowering
PEST_BANANA_WEEVIL,Banana rhizome weevil,Cosmopolites sordidus,Banana,"Tunnels in rhizome, reduced bunch",,,,"Clean suckers, traps",Entomopathogenic nematodes,Chlorpyrifos (judicious)
PEST_JASSID,Jassids,Amrasca biguttula biguttula,Cotton|Okra,"Marginal yellowing (hopper burn), curling",seedling|vegetative,2 jassids/leaf or marginal yellowing on 10% plants,Visual undersurface,"Early sowing, balanced N",Chrysoperla,"Imidacloprid, thiamethoxam"
