market_id,name,state,district,state_code,district_code,latitude,longitude,key_commodities
MKT_LASALGAON,Lasalgaon,Maharashtra,Nashik,IN-MH,IN-MH-NASHIK,20.15,74.24,Onion
MKT_AZADPUR,Azadpur,Delhi,North Delhi,IN-DL,IN-DL-NORTHDELHI,28.71,77.17,"Tomato, Potato, Onion"
MKT_VASHI,Vashi,Maharashtra,Thane,IN-MH,IN-MH-THANE,19.06,73.0,"Fruits, Vegetables"
MKT_GUNTUR,Guntur,Andhra Pradesh,Guntur,IN-AP,IN-AP-GUNTUR,16.29,80.45,Chilli
MKT_INDORE,Indore,Madhya Pradesh,Indore,IN-MP,IN-MP-INDORE,22.72,75.86,Soybean
MKT_KOTA,Kota,Rajasthan,Kota,IN-RJ,IN-RJ-KOTA,25.18,75.84,Coriander
MKT_ERODE,Erode,Tamil Nadu,Erode,IN-TN,IN-TN-ERODE,11.34,77.72,Turmeric
MKT_UNJHA,Unjha,Gujarat,Mahesana,IN-GJ,,23.8,72.39,Cumin (Jeera)
MKT_SIRSA,Sirsa,Haryana,Sirsa,IN-HR,IN-HR-SIRSA,29.53,75.03,Cotton
MKT_RAJKOT,Rajkot,Gujarat,Rajkot,IN-GJ,IN-GJ-RAJKOT,22.3,70.8,Groundnut
MKT_SANGLI,Sangli,Maharashtra,Sangli,IN-MH,IN-MH-SANGLI,16.85,74.56,Turmeric
MKT_MANDSAUR,Mandsaur,Madhya Pradesh,Mandsaur,IN-MP,IN-MP-MANDSAUR,24.07,75.07,Garlic
