crop_id,crop,target_yield_tha,nutrient_form,total_kg_ha,basal_frac,vegetative_frac,reproductive_frac
CROP_RICE,Rice,5.0,N,120,0.33,0.34,0.33
CROP_RICE,Rice,5.0,P2O5,60,1.0,0.0,0.0
CROP_RICE,Rice,5.0,K2O,40,0.5,0.0,0.5
CROP_WHEAT,Wheat,4.5,N,120,0.5,0.25,0.25
CROP_WHEAT,Wheat,4.5,P2O5,60,1.0,0.0,0.0
CROP_WHEAT,Wheat,4.5,K2O,40,0.5,0.0,0.5
CROP_MAIZE,Maize,5.5,N,120,0.25,0.5,0.25
CROP_MAIZE,Maize,5.5,P2O5,60,1.0,0.0,0.0
CROP_MAIZE,Maize,5.5,K2O,40,0.5,0.0,0.5
CROP_SUGARCANE,Sugarcane,100.0,N,250,0.1,0.4,0.5
CROP_SUGARCANE,Sugarcane,100.0,P2O5,75,1.0,0.0,0.0
CROP_SUGARCANE,Sugarcane,100.0,K2O,125,0.25,0.0,0.75
CROP_COTTON,Cotton,2.0,N,80,0.2,0.4,0.4
CROP_COTTON,Cotton,2.0,P2O5,40,1.0,0.0,0.0
CROP_COTTON,Cotton,2.0,K2O,40,0.5,0.0,0.5
CROP_TOMATO,Tomato,40.0,N,150,0.2,0.4,0.4
CROP_TOMATO,Tomato,40.0,P2O5,100,1.0,0.0,0.0
CROP_TOMATO,Tomato,40.0,K2O,150,0.33,0.0,0.67
CROP_ONION,Onion,25.0,N,100,0.5,0.25,0.25
CROP_ONION,Onion,25.0,P2O5,50,1.0,0.0,0.0
CROP_ONION,Onion,25.0,K2O,50,0.5,0.0,0.5
CROP_POTATO,Potato,25.0,N,120,0.5,0.25,0.25
CROP_POTATO,Potato,25.0,P2O5,80,1.0,0.0,0.0
CROP_POTATO,Potato,25.0,K2O,100,0.5,0.0,0.5
CROP_CHILLI,Chilli,15.0,N,100,0.25,0.25,0.5
CROP_CHILLI,Chilli,15.0,P2O5,50,1.0,0.0,0.0
CROP_CHILLI,Chilli,15.0,K2O,80,0.25,0.0,0.75
CROP_BRINJAL,Brinjal,30.0,N,100,0.25,0.25,0.5
CROP_BRINJAL,Brinjal,30.0,P2O5,50,1.0,0.0,0.0
CROP_BRINJAL,Brinjal,30.0,K2O,50,0.25,0.0,0.75
CROP_GROUNDNUT,Groundnut,2.0,N,25,0.5,0.0,0.5
CROP_GROUNDNUT,Groundnut,2.0,P2O5,50,1.0,0.0,0.0
CROP_GROUNDNUT,Groundnut,2.0,K2O,50,0.5,0.0,0.5
CROP_SOYBEAN,Soybean,2.0,N,30,0.5,0.0,0.5
CROP_SOYBEAN,Soybean,2.0,P2O5,60,1.0,0.0,0.0
CROP_SOYBEAN,Soybean,2.0,K2O,40,0.5,0.0,0.5
CROP_BANANA,Banana,60.0,N,200,0.1,0.45,0.45
CROP_BANANA,Banana,60.0,P2O5,60,1.0,0.0,0.0
CROP_BANANA,Banana,60.0,K2O,400,0.1,0.0,0.9
CROP_MANGO,Mango,10.0,N,100,0.4,0.3,0.3
CROP_MANGO,Mango,10.0,P2O5,50,1.0,0.0,0.0
CROP_MANGO,Mango,10.0,K2O,100,0.5,0.0,0.5
CROP_CABBAGE,Cabbage,30.0,N,150,0.33,0.34,0.33
CROP_CABBAGE,Cabbage,30.0,P2O5,80,1.0,0.0,0.0
CROP_CABBAGE,Cabbage,30.0,K2O,80,0.5,0.0,0.5
